Row,Ast,End,Ex,In,Mic,Oli,Opc,Per
IKBKB,0.0773391022174148,0.150684931506849,0.138061088977424,0.104573759931286,0.133919843597263,0.0536016949152542,0.0926070038910506,0.0842105263157895
POLB,0.0270416441319632,0.0136986301369863,0.110969455511288,0.0815975950182521,0.0361681329423265,0.0220338983050847,0.0459143968871595,0.0842105263157895
DKK4,0,0,5.31208499335989e-05,0,0,0,0,0
VDAC3,0.1914548404543,0.164383561643836,0.80339973439575,0.580631307708825,0.0400782013685239,0.0628177966101695,0.280155642023346,0.115789473684211
SLC20A2,0.399134667387777,0.356164383561644,0.659229747675963,0.352372772170925,0.0645161290322581,0.182944915254237,0.187548638132296,1.18947368421053
SMIM19,0.03677663601947,0.0821917808219178,0.130358565737052,0.0747262185956624,0.00879765395894428,0.0185381355932203,0.043579766536965,0.0736842105263158
CHRNB3,0.00648999459167117,0,0.021460823373174,0.0191110156753275,0.000977517106549365,0.00158898305084746,0.00856031128404669,0
CHRNA6,0.0124391563007031,0.0136986301369863,0.0171580345285525,0.0281296972299764,0.00586510263929619,0.00497881355932203,0.0140077821011673,0.0105263157894737
THAP1,0.0108166576527853,0,0.0553519256308101,0.0334979600601245,0.00586510263929619,0.00953389830508475,0.0147859922178988,0
RNF170,0.167117360735533,0.0547945205479452,0.309216467463479,0.226111230405841,0.0381231671554252,0.103177966101695,0.146303501945525,0.105263157894737
HOOK3,0.210383991346674,0.356164383561644,0.49460823373174,0.339703671891776,0.101661779081134,0.138453389830508,0.291828793774319,0.189473684210526
RP11-598P20.5,0.000540832882639265,0,0.00047808764940239,0.000429461026411853,0.000977517106549365,0.000211864406779661,0.000778210116731518,0
FNTA,0.0411032990805841,0.0684931506849315,0.107197875166003,0.0869658578484003,0.0146627565982405,0.0519067796610169,0.0490272373540856,0.0105263157894737
POMK,0.0113574905354246,0.0136986301369863,0.0416998671978752,0.0313506549280653,0.00977517106549365,0.00752118644067797,0.022568093385214,0.0105263157894737
HGSNAT,0.144943212547323,0.219178082191781,0.403505976095618,0.260468112518789,0.072336265884653,0.0666313559322034,0.185992217898833,0.2
SPIDR,0.38994050838291,0.931506849315068,1.72871181938911,0.875671032853769,0.429130009775171,0.184216101694915,0.831906614785992,0.4
CEBPD,0.0665224445646295,0.397260273972603,0.258273572377158,0.0266265836375349,0.0742913000977517,0.00635593220338983,0.146303501945525,0.326315789473684
PRKDC,0.164954029204976,0.287671232876712,0.687011952191235,0.32789349366545,0.124144672531769,0.126800847457627,0.249805447470817,0.147368421052632
MCM4,0.00811249323958897,0,0.0771845949535193,0.0455228687996564,0.000977517106549365,0.00572033898305085,0.0140077821011673,0.0105263157894737
UBE2V2,0.047052460789616,0.0547945205479452,0.619601593625498,0.307494094910887,0.0185728250244379,0.0401483050847458,0.0832684824902724,0.0526315789473684
EFCAB1,0.00270416441319632,0,0.018273572377158,0.00193257461885334,0,0.000211864406779661,0.00311284046692607,0.0105263157894737
SNAI2,0.000540832882639265,0,0.0109428950863214,0.00579772385656002,0,0.000105932203389831,0.00700389105058366,0.0315789473684211
C8orf22,0.00108166576527853,0,0.00196547144754316,0.00107365256602963,0,0.000317796610169492,0.00233463035019455,0
SNTG1,0.0832882639264467,0.0958904109589041,5.92796812749004,4.50397251449431,0.0342130987292278,0.0396186440677966,4.91517509727626,0.0315789473684211
PXDNL,0.0297458085451595,0,0.141832669322709,0.171140219025123,0.0175953079178886,0.0254237288135593,0.0357976653696498,0.0315789473684211
PCMTD1,0.225527312060573,0.356164383561644,0.646215139442231,0.485290959845394,0.13880742913001,0.133368644067797,0.304280155642023,0.210526315789474
ST18,0.0243374797187669,0.0273972602739726,0.0368127490039841,0.0573330470259824,0.0185728250244379,3.12076271186441,0.022568093385214,0.0631578947368421
FAM150A,0.000540832882639265,0,0.00239043824701195,0.00493880180373631,0,0.000105932203389831,0,0
